88
4.18804	8.45667	5.89063	9.50603
1.13771	9.96858	2.97265	9.17297
2.31495	9.94638	0.511055	9.08269
1.69304	8.08603	1.17435	10
2.01238	8.96586	0.262218	9.93381
4.13602	6.14186	4.25398	8.13838
3.61734	5.49099	4.46966	7.30028
3.97494	6.06868	5.63178	7.18889
5.63043	6.84966	3.69072	6.36229
3.22726	7.00339	2.2061	8.72305
2.8506	7.34627	4.81288	7.73288
2.09366	8.16194	1.68762	6.20359
0.735674	7.38684	2.71966	7.13429
2.67717	8.34128	2.35312	6.3677
3.75348	6.99058	1.75492	7.06638
5.49467	7.38259	3.83537	8.49915
4.7648	8.8852	5.75721	7.14879
4.90605	7.42011	5.59944	9.29606
3.193	7.82239	5.13711	8.29188
2.42162	8.37572	2.85225	10
3.60215	7.81656	2.07754	9.11099
6.55488	2.90587	8.50024	2.44156
0.98751	2.59193	2.27278	1.05958
5.1116	9.33689	7.10737	9.20697
4.03057	2.7582	4.99685	1.00712
8.42669	4.66443	10	3.56428
2.55956	0.171195	2.58333	2.17105
2.87186	3.60688	4.25842	2.16554
6.9979	7.95961	6.13293	9.76289
7.19798	7.2552	6.97741	9.243
9.11382	6.64301	7.2318	7.31977
7.86567	8.14041	6.02206	7.3651
7.75806	7.08637	6.38258	5.63446
3.12881	3.31961	5.12585	3.42843
5.49007	5.70403	4.12582	4.24156
5.33988	4.76129	3.40601	5.27136
4.02692	3.15506	4.53814	5.08862
5.18709	3.67337	3.31972	2.95716
5.1683	5.49649	7.08652	6.06257
6.95065	6.60038	6.1345	4.77448
4.62132	6.23464	6.02025	4.80531
7.32913	8.18573	8.62622	6.66339
8.81256	7.40253	7.01066	8.27037
8.75702	7.10958	6.76212	6.96689
7.74578	8.29443	8.49564	6.44032
9.72605	7.7305	7.80878	7.16122
7.67526	2.30642	7.81593	4.30147
9.36703	4.89192	8.61391	6.7447
8.22999	4.2942	7.70603	2.36406
9.84336	3.22815	8.08281	4.17708
8.47088	3.09734	8.37051	5.09482
9.99149	4.98735	7.9915	4.98121
9.6622	4.09224	7.74519	3.5221
8.58917	4.28497	10	3.70186
8.42225	5.56777	9.19258	7.41346
8.67646	6.75838	10	5.49037
7.82367	5.90187	9.8144	5.70947
7.09493	9.30874	6.16636	7.53737
1.5599	1.12841	3.26803	0.0880757
6.4367	3.05125	4.55774	2.36605
2.67889	3.01354	4.2696	1.80126
2.42558	1.63295	1.71512	0
2.55279	1.4588	1.34954	0
2.9987	0.321715	4.34371	1.8019
5.74742	1.2474	3.7939	1.67608
6.73941	1.51868	6.01835	3.38418
5.16167	2.39778	6.67554	1.09079
6.24936	0.982224	6.74906	2.91879
4.25365	0.871046	5.88296	2.03094
1.05506	3.28698	1.4024	1.31737
1.26759	2.1303	1.02523	4.11556
1.43443	1.61976	3.22028	0.719337
3.00487	1.32246	1.05717	0.868089
1.8005	3.53679	1.50645	1.55852
3.61207	1.70902	1.6574	1.28563
1.06607	1.96515	1.62497	3.88547
3.45524	2.2263	1.48819	1.86476
2.5456	1.28647	2.24035	3.26303
1.97896	1.7793	0.210712	2.7138
1.06485	3.41888	0	2.06374
0.538657	3.40464	2.09228	2.14518
1.48783	2.26836	3.19158	3.31584
3.98865	0.33214	2.94902	2.0407
3.16752	1.39706	4.01156	3.21023
5.4872	2.63489	3.55046	2.13585
6.37433	4.10359	4.65488	3.08207
5.11585	4.01632	5.76204	2.12359
5.25628	2.94705	6.54258	4.47852
