340
9.36932	9.67186	9.65547	5.41152	9.6355	6.60024
6.02877	8.08489	3.90732	7.44484	9.76628	8.39816
9.09476	6.14892	2.7819	6.17287	8.95097	5.71638
7.45612	7.04943	8.22778	6.50452	10	5.51806
9.58916	9.01585	4.68542	7.81547	4.97198	2.33997
6.27899	7.08757	5.53306	7.50877	10	4.47624
9.58026	3.27624	4.02737	8.40413	7.94035	2.66254
3.99591	9.30781	4.76118	8.23911	8.94822	7.38148
9.64322	8.74297	5.50096	4.84719	9.74277	6.5002
9.32949	3.70356	6.83287	8.9377	5.98566	2.40133
8.14942	7.43624	8.1289	8.3238	10	8.93718
6.47443	8.69194	7.42344	7.56087	10	8.25846
9.12399	3.16115	8.24896	9.44556	4.0275	3.3351
8.14919	4.22179	2.64227	6.74383	8.88412	1.5075
8.82934	9.5773	2.83659	9.07736	4.58392	2.90495
7.07721	6.52941	0.780483	8.80988	3.35262	4.23096
8.72366	7.55348	3.80421	9.67131	5.40711	0
5.41854	8.78574	5.20524	2.76662	10	4.63833
6.03904	9.73108	2.05905	7.102	9.22259	6.91822
8.78206	5.692	3.29728	7.28584	10	4.03559
2.99964	8.94838	2.5355	5.01688	9.80792	7.02904
5.03394	7.90853	4.64427	2.65025	10	3.28267
0.354243	8.4497	2.27177	4.57302	9.47493	4.75186
7.35111	6.61838	9.72008	9.45226	10	9.54446
3.69197	9.81047	8.36231	5.36725	9.40912	3.66845
8.46313	4.8418	2.28488	4.8124	2.40969	4.68424
8.18363	9.4107	4.50637	9.49491	5.1084	2.32216
7.55275	9.35557	5.12572	10	8.73082	4.46045
6.51256	2.65896	1.2086	9.81453	6.40512	0.957014
6.83138	6.08849	5.42542	10	3.58122	6.06794
5.70646	7.85187	0.304829	8.40485	3.74587	1.23193
9.14193	6.48012	3.65976	8.84254	2.14442	1.18751
3.94781	9.83325	5.09423	0	9.36286	3.01177
8.5109	6.50861	2.50073	10	6.70754	1.57028
3.00678	9.73042	4.77522	5.68777	10	5.23742
9.90365	4.43152	3.91428	8.66967	5.83718	0
9.51484	1.63315	4.03642	9.17898	6.47136	5.25251
4.52953	9.4322	4.50782	3.39114	10	5.11262
7.81386	3.62237	7.28739	9.88692	6.20993	3.54481
6.14644	6.50989	2.79181	10	9.05691	4.46821
